index,Date,Region,Thermal Generation Actual (in MW),Thermal Generation Estimated (in MW),Nuclear Generation Actual (in MW),Nuclear Generation Estimated (in MW),Hydro Generation Actual (in MW),Hydro Generation Estimated (in MW)
930,6/3/2018,NorthEastern,31.96,33.34,,,12.16,5.90
931,7/3/2018,Northern,632.55,648.77,30.32,26.00,134.13,106.19
932,7/3/2018,Western,1175.98,1169.49,25.19,26.19,38.10,26.90
933,7/3/2018,Southern,649.52,660.37,62.86,48.94,88.22,72.38
934,7/3/2018,Eastern,501.14,545.88,,,30.16,25.20
935,7/3/2018,NorthEastern,31.96,33.68,,,12.16,5.43
936,8/3/2018,Northern,631.90,642.28,30.32,25.80,134.13,105.78
937,8/3/2018,Western,1175.98,1193.83,25.19,26.17,38.10,33.10
938,8/3/2018,Southern,649.52,666.10,62.86,31.05,88.22,80.88
939,8/3/2018,Eastern,501.14,544.58,,,30.16,23.60
940,8/3/2018,NorthEastern,31.96,33.78,,,12.16,5.41
941,9/3/2018,Northern,631.90,633.01,30.32,25.72,134.13,105.11
942,9/3/2018,Western,1175.98,1155.59,25.19,26.23,38.10,33.64
943,9/3/2018,Southern,649.52,704.30,62.86,25.98,88.22,86.56
944,9/3/2018,Eastern,501.14,541.05,,,30.16,25.77
945,9/3/2018,NorthEastern,31.96,34.02,,,12.16,4.99
946,10/3/2018,Northern,631.90,640.62,30.32,25.78,134.13,104.13
947,10/3/2018,Western,1175.98,1163.68,25.19,26.21,38.10,31.40
948,10/3/2018,Southern,649.52,687.98,62.86,26.07,88.22,72.91
949,10/3/2018,Eastern,501.14,546.67,,,30.16,25.79
950,10/3/2018,NorthEastern,31.96,33.95,,,12.16,5.38
951,11/3/2018,Northern,635.05,670.46,30.32,25.77,134.13,101.45
952,11/3/2018,Western,1175.98,1128.53,25.19,26.17,38.10,17.09
953,11/3/2018,Southern,649.52,653.75,62.86,27.47,88.22,54.71
954,11/3/2018,Eastern,501.14,540.23,,,30.16,21.16
955,11/3/2018,NorthEastern,31.96,33.85,,,12.16,5.93
956,12/3/2018,Northern,635.75,690.77,30.32,25.60,134.13,99.21
957,12/3/2018,Western,1175.98,1145.06,25.19,26.12,38.10,18.66
958,12/3/2018,Southern,649.52,678.51,62.86,31.04,88.22,69.31
959,12/3/2018,Eastern,501.14,544.48,,,30.16,26.71
960,12/3/2018,NorthEastern,31.96,32.82,,,12.16,5.69
961,13/3/2018,Northern,628.85,679.83,30.32,25.42,134.13,99.87
962,13/3/2018,Western,1175.98,1153.09,25.19,26.12,38.10,20.63
963,13/3/2018,Southern,649.52,688.03,62.86,41.22,88.22,74.45
964,13/3/2018,Eastern,501.14,550.22,,,30.16,26.06
965,13/3/2018,NorthEastern,31.96,32.33,,,12.16,6.07
966,14/3/2018,Northern,618.70,673.49,30.32,28.54,134.13,102.80
967,14/3/2018,Western,1175.98,1135.08,25.19,26.07,38.10,23.90
968,14/3/2018,Southern,649.52,690.52,62.86,47.41,88.22,75.92
969,14/3/2018,Eastern,501.14,549.61,,,30.16,25.82
970,14/3/2018,NorthEastern,31.96,32.86,,,12.16,5.99
971,15/3/2018,Northern,618.09,685.94,30.32,30.85,134.13,108.14
972,15/3/2018,Western,1175.98,1161.16,25.19,26.07,38.10,20.10
973,15/3/2018,Southern,649.52,694.23,62.86,47.28,88.22,79.75
