index,Date,Region,Thermal Generation Actual (in MW),Thermal Generation Estimated (in MW),Thermal Generation Estimation Error,Nuclear Generation Actual (in MW),Nuclear Generation Estimated (in MW),Nuclear Generation Estimation Error,Hydro Generation Actual (in MW),Hydro Generation Estimated (in MW),Hydro Generation Estimation Error
756,31/1/2018,Northern,626.18,643.76,17.58,30.31,32.06,1.75,96.18,93.48,-2.7
757,31/1/2018,Western,1127.26,1193.56,66.3,25.19,26.22,1.03,41.22,17.68,-23.54
758,31/1/2018,Southern,640.29,574.81,-65.48,45.38,71.16,25.78,70.04,59.1,-10.94
759,31/1/2018,Eastern,483.54,497.16,13.62,,,0,21.76,20.99,-0.77
760,31/1/2018,NorthEastern,31.88,34.13,2.25,,,0,11.28,7.57,-3.71
761,1/2/2018,Northern,611.46,635.44,23.98,30.36,32,1.64,109.45,95.3,-14.15
762,1/2/2018,Western,1143.81,1202.72,58.91,25.14,26.19,1.05,40.94,24.39,-16.55
763,1/2/2018,Southern,642.31,571.51,-70.8,45.43,70.46,25.03,82.8,41.16,-41.64
764,1/2/2018,Eastern,489.39,507.35,17.96,,,0,25.1,19.21,-5.89
765,1/2/2018,NorthEastern,31.93,33.47,1.54,,,0,10.24,6.97,-3.27
766,2/2/2018,Northern,611.46,650.47,39.01,30.36,31.86,1.5,109.45,96.39,-13.06
767,2/2/2018,Western,1143.81,1214.09,70.28,25.14,26.15,1.01,40.94,20.11,-20.83
768,2/2/2018,Southern,642.31,568.66,-73.65,45.43,70.27,24.84,82.8,46.99,-35.81
769,2/2/2018,Eastern,489.39,499.88,10.49,,,0,25.1,20.99,-4.11
770,2/2/2018,NorthEastern,31.93,33.76,1.83,,,0,10.24,6.78,-3.46
771,3/2/2018,Northern,611.46,631.03,19.57,30.36,31.52,1.16,109.45,93.06,-16.39
772,3/2/2018,Western,1149.12,1217.42,68.3,25.14,26.07,0.93,40.94,20.93,-20.01
773,3/2/2018,Southern,642.31,554.89,-87.42,45.43,70.31,24.88,82.8,48.2,-34.6
774,3/2/2018,Eastern,485.39,492.35,6.96,,,0,25.1,25.11,0.01
775,3/2/2018,NorthEastern,31.93,34.41,2.48,,,0,10.24,6.28,-3.96
776,4/2/2018,Northern,611.46,600.66,-10.8,30.36,32.05,1.69,109.45,93.65,-15.8
777,4/2/2018,Western,1149.12,1192.48,43.36,25.14,26.23,1.09,40.94,16.63,-24.31
778,4/2/2018,Southern,642.31,518.87,-123.44,45.43,70.32,24.89,82.8,35.04,-47.76
779,4/2/2018,Eastern,485.39,474.38,-11.01,,,0,25.1,21,-4.1
780,4/2/2018,NorthEastern,31.93,32.97,1.04,,,0,10.24,7.39,-2.85
781,5/2/2018,Northern,611.46,621.07,9.61,30.36,32.05,1.69,109.45,95.34,-14.11
782,5/2/2018,Western,1149.12,1220.83,71.71,25.14,26.19,1.05,40.94,16.65,-24.29
783,5/2/2018,Southern,642.31,558.4,-83.91,45.43,71.14,25.71,82.8,42.26,-40.54
784,5/2/2018,Eastern,485.39,482.33,-3.06,,,0,25.1,25.09,-0.01
785,5/2/2018,NorthEastern,31.93,34.31,2.38,,,0,10.24,7.66,-2.58
786,6/2/2018,Northern,614.11,636.43,22.32,30.36,26.6,-3.76,109.45,93.64,-15.81
787,6/2/2018,Western,1149.12,1247.96,98.84,25.14,26.13,0.99,40.94,23.41,-17.53
788,6/2/2018,Southern,643.74,587.07,-56.67,45.43,71.13,25.7,82.8,51.8,-31
789,6/2/2018,Eastern,488,489.71,1.71,,,0,25.1,19.32,-5.78
790,6/2/2018,NorthEastern,31.93,34.55,2.62,,,0,10.24,7.25,-2.99
791,7/2/2018,Northern,614.11,632.69,18.58,30.36,26.62,-3.74,109.45,95.6,-13.85
